County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle CAFV Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
Kitsap,Seabeck,WA,98380,2021,BMW,X5,0,1,30,0,35,267929112,-122.8728334 47.5798304,PUGET SOUND ENERGY INC,53035091301
Kitsap,Poulsbo,WA,98370,2018,TESLA,MODEL 3,1,1,215,0,23,475911439,-122.6368884 47.7469547,PUGET SOUND ENERGY INC,53035091100
Snohomish,Bothell,WA,98012,2016,PORSCHE,PANAMERA,0,2,15,0,1,101971278,-122.206146 47.839957,PUGET SOUND ENERGY INC,53061052009
Kitsap,Bremerton,WA,98310,2018,TESLA,MODEL 3,1,1,215,0,23,474363746,-122.6231895 47.5930874,PUGET SOUND ENERGY INC,53035080200
King,Redmond,WA,98052,2019,NISSAN,LEAF,1,1,150,0,45,476346482,-122.13158 47.67858,PUGET SOUND ENERGY INCCITY OF TACOMAWA,53033032323
Snohomish,Bothell,WA,98012,2015,FORD,FUSION,0,2,19,0,21,9620047,-122.206146 47.839957,PUGET SOUND ENERGY INC,53061041704
King,Renton,WA,98055,2020,TESLA,MODEL Y,1,1,291,0,11,124565731,-122.2003346 47.4487206,PUGET SOUND ENERGY INCCITY OF TACOMAWA,53033025805
King,Seattle,WA,98107,2021,BMW,X3,0,2,17,0,36,135327104,-122.38591 47.67597,CITY OF SEATTLEWACITY OF TACOMAWA,53033004702
King,Bellevue,WA,98007,2015,NISSAN,LEAF,1,1,84,0,48,105509778,-122.1436732 47.6157551,PUGET SOUND ENERGY INCCITY OF TACOMAWA,53033023300
King,Seattle,WA,98125,2017,TESLA,MODEL S,1,1,210,0,46,348605603,-122.30253 47.72656,CITY OF SEATTLEWACITY OF TACOMAWA,53033000900
Kitsap,Port Orchard,WA,98366,2017,CHEVROLET,BOLT EV,1,1,238,0,26,176855283,-122.63847 47.54103,PUGET SOUND ENERGY INC,53035092200
Snohomish,Lynnwood,WA,98087,2019,TESLA,MODEL 3,1,1,220,0,21,110038288,-122.27336 47.861417,PUGET SOUND ENERGY INC,53061041812
Kitsap,Poulsbo,WA,98370,2024,TOYOTA,RAV4 PRIME,0,1,42,0,23,271853067,-122.6368884 47.7469547,PUGET SOUND ENERGY INC,53035090502
Thurston,Olympia,WA,98502,2012,TESLA,MODEL S,1,1,265,59900,22,188634442,-122.92333 47.03779,PUGET SOUND ENERGY INC,53067010600
Yakima,Yakima,WA,98908,2024,VOLVO,XC90,0,1,32,0,14,267393759,-120.611068 46.596645,PACIFICORP,53077000402
Snohomish,Edmonds,WA,98026,2020,TESLA,MODEL Y,1,1,291,0,21,112172084,-122.338942 47.821454,PUGET SOUND ENERGY INC,53061050101
King,Duvall,WA,98019,2020,TESLA,MODEL 3,1,1,266,0,45,107653255,-121.956372 47.735604,PUGET SOUND ENERGY INCCITY OF TACOMAWA,53033032401
Thurston,Olympia,WA,98502,2024,JEEP,WRANGLER,0,2,21,0,22,270975064,-122.92333 47.03779,PUGET SOUND ENERGY INC,53067011100
King,Bothell,WA,98011,2015,TESLA,MODEL S,1,1,208,0,1,162167414,-122.201408 47.754528,PUGET SOUND ENERGY INCCITY OF TACOMAWA,53033021803
King,Seattle,WA,98115,2019,TESLA,MODEL 3,1,1,220,0,46,305583925,-122.3008235 47.6862671,CITY OF SEATTLEWACITY OF TACOMAWA,53033002000
Kitsap,Bainbridge Island,WA,98110,2016,AUDI,A3,0,2,16,0,23,148383448,-122.5305071 47.6400595,PUGET SOUND ENERGY INC,53035090700
Yakima,Tieton,WA,98947,2016,VOLKSWAGEN,E-GOLF,1,1,83,0,14,477758340,-120.7482919 46.7020975,PACIFICORP,53077002900
King,Issaquah,WA,98027,2018,TESLA,MODEL 3,1,1,215,0,5,271977282,-122.0402383 47.5276876,PUGET SOUND ENERGY INCCITY OF TACOMAWA,53033032103
Kitsap,Poulsbo,WA,98370,2015,TESLA,MODEL S,1,1,208,0,23,247898661,-122.6368884 47.7469547,PUGET SOUND ENERGY INC,53035090201
Yakima,Yakima,WA,98903,2022,FORD,F-150,1,3,0,0,14,219992020,-120.5807155 46.5654909,PACIFICORP,53077002803
King,Kent,WA,98030,2020,KIA,NIRO,1,1,239,0,47,144196888,-122.1994204 47.3741045,PUGET SOUND ENERGY INCCITY OF TACOMAWA,53033029508
Snohomish,Lynnwood,WA,98036,2020,TESLA,MODEL Y,1,1,291,0,1,183054350,-122.29245 47.82557,PUGET SOUND ENERGY INC,53061051916
King,Seatac,WA,98198,2020,KIA,NIRO,1,1,239,0,33,144140664,-122.3145447 47.3984346,PUGET SOUND ENERGY INCCITY OF TACOMAWA,53033028300
Snohomish,Bothell,WA,98012,2023,TESLA,MODEL Y,1,3,0,0,1,240434155,-122.206146 47.839957,PUGET SOUND ENERGY INC,53061052009
Snohomish,Bothell,WA,98021,2024,VOLVO,XC60,0,1,35,0,1,269459816,-122.2107298 47.7977268,PUGET SOUND ENERGY INC,53061051918
Snohomish,Bothell,WA,98012,2023,TESLA,MODEL Y,1,3,0,0,1,245450600,-122.206146 47.839957,PUGET SOUND ENERGY INC,53061051933
Snohomish,Bothell,WA,98021,2018,TESLA,MODEL X,1,1,238,0,1,474826075,-122.2107298 47.7977268,PUGET SOUND ENERGY INC,53061051914
Thurston,Olympia,WA,98512,2016,BMW,X5,0,2,14,0,35,326783089,-122.957046 46.991391,PUGET SOUND ENERGY INC,53067012610
Kitsap,Bremerton,WA,98312,2019,NISSAN,LEAF,1,1,150,0,35,8795643,-122.6961203 47.5759584,PUGET SOUND ENERGY INC,53035092102
King,Seattle,WA,98102,2018,TESLA,MODEL 3,1,1,215,0,43,131570442,-122.3212726 47.6296532,CITY OF SEATTLEWACITY OF TACOMAWA,53033006600
Snohomish,Bothell,WA,98021,2018,TESLA,MODEL 3,1,1,215,0,1,475286220,-122.2107298 47.7977268,PUGET SOUND ENERGY INC,53061051937
Snohomish,Lynnwood,WA,98087,2019,TESLA,MODEL 3,1,1,220,0,21,478641796,-122.27336 47.861417,PUGET SOUND ENERGY INC,53061041703
Snohomish,Bothell,WA,98012,2021,VOLVO,XC90,0,2,18,0,1,153808630,-122.206146 47.839957,PUGET SOUND ENERGY INC,53061052107
Kitsap,Bremerton,WA,98312,2015,BMW,I3,1,1,81,0,26,183220649,-122.6961203 47.5759584,PUGET SOUND ENERGY INC,53035081200
Yakima,Yakima,WA,98903,2019,TESLA,MODEL 3,1,1,220,0,14,198205521,-120.5807155 46.5654909,PACIFICORP,53077002803
Snohomish,Snohomish,WA,98296,2019,NISSAN,LEAF,1,1,150,0,1,121646780,-122.121841 47.841036,PUGET SOUND ENERGY INC,53061052113
Snohomish,Brier,WA,98036,2023,RIVIAN,R1S,1,3,0,0,1,261988107,-122.29245 47.82557,PUGET SOUND ENERGY INC,53061051913
Snohomish,Lynnwood,WA,98036,2018,TESLA,MODEL S,1,1,249,0,32,185249781,-122.29245 47.82557,PUGET SOUND ENERGY INC,53061051500
Yakima,Yakima,WA,98902,2025,BMW,X5,0,1,40,0,14,268086640,-120.530331 46.59534,PACIFICORP,53077000800
King,Seattle,WA,98106,2021,BMW,330E,0,2,22,0,34,273702026,-122.3570816 47.5337116,CITY OF SEATTLEWACITY OF TACOMAWA,53033010701
Kitsap,Poulsbo,WA,98370,2021,TOYOTA,RAV4 PRIME,0,1,42,0,23,190236175,-122.6368884 47.7469547,PUGET SOUND ENERGY INC,53035090501
Kitsap,Port Orchard,WA,98367,2022,JEEP,WRANGLER,0,2,21,0,26,202073777,-122.6530052 47.4739066,PUGET SOUND ENERGY INC,53035092902
King,Seattle,WA,98109,2020,BMW,I3,0,1,126,0,36,273662329,-122.35022 47.63824,CITY OF SEATTLEWACITY OF TACOMAWA,53033007002
King,Seattle,WA,98125,2017,FORD,FOCUS,1,1,100,0,46,350362484,-122.30253 47.72656,CITY OF SEATTLEWACITY OF TACOMAWA,53033000202
King,Kirkland,WA,98033,2021,MINI,HARDTOP,1,1,110,0,45,122972090,-122.1925969 47.676241,PUGET SOUND ENERGY INCCITY OF TACOMAWA,53033022402
King,Seattle,WA,98134,2017,TESLA,MODEL X,1,1,200,0,11,236117108,-122.3290729 47.5773571,CITY OF SEATTLEWACITY OF TACOMAWA,53033009300
King,Seattle,WA,98117,2015,BMW,I3,1,1,81,0,36,167141285,-122.377938 47.690166,CITY OF SEATTLEWACITY OF TACOMAWA,53033003202
King,Seattle,WA,98117,2015,NISSAN,LEAF,1,1,84,0,36,207969247,-122.377938 47.690166,CITY OF SEATTLEWACITY OF TACOMAWA,53033003100
Yakima,Yakima,WA,98902,2017,TOYOTA,PRIUS PRIME,0,2,25,0,14,115760025,-120.530331 46.59534,PACIFICORP,53077000800
Snohomish,Bothell,WA,98012,2023,TESLA,MODEL Y,1,3,0,0,1,224587142,-122.206146 47.839957,PUGET SOUND ENERGY INC,53061051934
Kitsap,Bremerton,WA,98312,2016,NISSAN,LEAF,1,1,84,0,35,221410255,-122.6961203 47.5759584,PUGET SOUND ENERGY INC,53035091301
Thurston,Olympia,WA,98501,2023,TESLA,MODEL 3,1,3,0,0,22,228842246,-122.8733203 47.0133209,PUGET SOUND ENERGY INC,53067010700
Snohomish,Bothell,WA,98021,2023,TESLA,MODEL 3,1,3,0,0,1,240400765,-122.2107298 47.7977268,PUGET SOUND ENERGY INC,53061051917
Thurston,Olympia,WA,98501,2023,KIA,SORENTO,0,1,32,0,22,236654722,-122.8733203 47.0133209,PUGET SOUND ENERGY INC,53067010700
Yakima,Yakima,WA,98908,2016,TESLA,MODEL S,1,1,210,0,14,136961723,-120.611068 46.596645,PACIFICORP,53077000401
King,Bellevue,WA,98006,2021,BMW,X3,0,2,17,0,41,141984146,-122.144149 47.560742,PUGET SOUND ENERGY INCCITY OF TACOMAWA,53033024901
Kitsap,Poulsbo,WA,98370,2017,NISSAN,LEAF,1,1,107,0,23,167129224,-122.6368884 47.7469547,PUGET SOUND ENERGY INC,53035090502
Thurston,Olympia,WA,98501,2013,NISSAN,LEAF,1,1,75,0,22,5617937,-122.8733203 47.0133209,PUGET SOUND ENERGY INC,53067010100
Kitsap,Poulsbo,WA,98370,2018,TESLA,MODEL X,1,1,238,0,23,203453883,-122.6368884 47.7469547,PUGET SOUND ENERGY INC,53035940100
Yakima,Naches,WA,98937,2018,TESLA,MODEL 3,1,1,215,0,14,190294891,-120.7451856 46.7416386,PACIFICORP,53077003002
Yakima,Yakima,WA,98902,2023,MINI,COUNTRYMAN,0,2,17,0,14,260726455,-120.530331 46.59534,PACIFICORP,53077000800
Kitsap,Bremerton,WA,98310,2023,KIA,NIRO,1,3,0,0,23,228680609,-122.6231895 47.5930874,PUGET SOUND ENERGY INC,53035091800
Snohomish,Bothell,WA,98012,2018,NISSAN,LEAF,1,1,151,0,1,325466319,-122.206146 47.839957,PUGET SOUND ENERGY INC,53061052009
Snohomish,Bothell,WA,98012,2019,AUDI,E-TRON,1,1,204,0,21,194869692,-122.206146 47.839957,PUGET SOUND ENERGY INC,53061051927
Thurston,Olympia,WA,98506,2017,CHEVROLET,BOLT EV,1,1,238,0,22,259201309,-122.87741 47.05997,PUGET SOUND ENERGY INC,53067012223
Snohomish,Bothell,WA,98012,2020,TESLA,MODEL 3,1,1,266,0,44,2202798,-122.206146 47.839957,PUGET SOUND ENERGY INC,53061052007
Thurston,Lacey,WA,98503,2023,KIA,EV6,1,3,0,0,22,240395025,-122.80665 47.019564,PUGET SOUND ENERGY INC,53067011300
Thurston,Tumwater,WA,98512,2022,VOLVO,XC90,0,1,35,0,22,199115983,-122.957046 46.991391,PUGET SOUND ENERGY INC,53067010910
Kitsap,Kingston,WA,98346,2023,TESLA,MODEL Y,1,3,0,0,23,257596132,-122.4977 47.79802,PUGET SOUND ENERGY INC,53035090202
Thurston,Olympia,WA,98502,2018,TESLA,MODEL 3,1,1,215,0,35,349687754,-122.92333 47.03779,PUGET SOUND ENERGY INC,53067011902
Kitsap,Poulsbo,WA,98370,2018,TESLA,MODEL 3,1,1,215,0,23,142481209,-122.6368884 47.7469547,PUGET SOUND ENERGY INC,53035090202
King,Burien,WA,98166,2020,TESLA,MODEL X,1,1,289,0,34,4951446,-122.3472273 47.4568458,PUGET SOUND ENERGY INCCITY OF TACOMAWA,53033027800
Kitsap,Poulsbo,WA,98370,2018,BMW,X5,0,2,13,0,23,252602409,-122.6368884 47.7469547,PUGET SOUND ENERGY INC,53035090502
Kitsap,Bainbridge Island,WA,98110,2020,KIA,NIRO,1,1,239,0,23,271074352,-122.5305071 47.6400595,PUGET SOUND ENERGY INC,53035091001
Kitsap,Bremerton,WA,98312,2023,TESLA,MODEL 3,1,3,0,0,35,259155340,-122.6961203 47.5759584,PUGET SOUND ENERGY INC,53035080700
Thurston,Lacey,WA,98516,2024,LEXUS,RZ,1,3,0,0,22,267010523,-122.75103 47.08149,PUGET SOUND ENERGY INC,53067012226
King,Seattle,WA,98126,2018,TESLA,MODEL 3,1,1,215,0,34,148845742,-122.3752214 47.5465949,CITY OF SEATTLEWACITY OF TACOMAWA,53033010701
Yakima,Zillah,WA,98953,2025,NISSAN,LEAF,1,3,0,0,15,273676672,-120.2658133 46.4063477,PACIFICORP,53077002201
Kitsap,Bremerton,WA,98311,2020,HYUNDAI,IONIQ,1,1,170,0,23,270084895,-122.636245 47.62806,PUGET SOUND ENERGY INC,53035091900
Yakima,Yakima,WA,98908,2023,TESLA,MODEL Y,1,3,0,0,14,240646983,-120.611068 46.596645,PACIFICORP,53077000401
Snohomish,Snohomish,WA,98296,2020,TESLA,MODEL X,1,1,289,0,44,5001832,-122.121841 47.841036,PUGET SOUND ENERGY INC,53061052008
King,Seattle,WA,98116,2015,BMW,I3,0,1,72,0,34,143756140,-122.395519 47.572137,CITY OF SEATTLEWACITY OF TACOMAWA,53033009802
Snohomish,Lake Stevens,WA,98258,2024,MAZDA,CX-90,0,2,26,0,39,245826283,-122.0816912 48.0122934,PUGET SOUND ENERGY INC,53061053603
Kitsap,Suquamish,WA,98392,2016,NISSAN,LEAF,1,1,84,0,23,210366880,-122.5591128 47.7346457,PUGET SOUND ENERGY INC,53035940100
Kitsap,Olalla,WA,98359,2020,CHEVROLET,BOLT EV,1,1,259,0,26,122683452,-122.5730403 47.4282964,PUGET SOUND ENERGY INC,53035092802
King,Seattle,WA,98115,2016,NISSAN,LEAF,1,1,84,0,46,348644460,-122.3008235 47.6862671,CITY OF SEATTLEWACITY OF TACOMAWA,53033002200
King,Issaquah,WA,98027,2018,TESLA,MODEL 3,1,1,215,0,5,111930983,-122.0402383 47.5276876,PUGET SOUND ENERGY INCCITY OF TACOMAWA,53033032104
Thurston,Lacey,WA,98516,2018,BMW,530E,0,2,16,52650,22,194339561,-122.75103 47.08149,PUGET SOUND ENERGY INC,53067012226
Snohomish,Everett,WA,98204,2011,NISSAN,LEAF,1,1,73,0,38,169709214,-122.2507211 47.8976713,PUGET SOUND ENERGY INC,53061041907
Snohomish,Mukilteo,WA,98275,2022,VOLVO,XC90,0,2,18,0,21,194297813,-122.29943 47.912654,PUGET SOUND ENERGY INC,53061042001
Kitsap,Bremerton,WA,98311,2020,VOLVO,XC60,0,2,19,0,23,144646673,-122.636245 47.62806,PUGET SOUND ENERGY INC,53035091702
Thurston,Olympia,WA,98506,2017,TOYOTA,PRIUS PRIME,0,2,25,0,22,280852995,-122.87741 47.05997,PUGET SOUND ENERGY INC,53067012100
King,Seattle,WA,98115,2020,TESLA,MODEL 3,1,1,266,0,46,2218618,-122.3008235 47.6862671,PUGET SOUND ENERGY INCCITY OF TACOMAWA,53033004000
King,Issaquah,WA,98027,2015,NISSAN,LEAF,1,1,84,0,5,172254533,-122.0402383 47.5276876,PUGET SOUND ENERGY INCCITY OF TACOMAWA,53033032103
King,Bellevue,WA,98005,2019,KIA,NIRO,1,1,239,0,41,194293487,-122.167394 47.614119,PUGET SOUND ENERGY INCCITY OF TACOMAWA,53033023604
Snohomish,Lynnwood,WA,98036,2022,BMW,X5,0,1,30,0,32,193600067,-122.29245 47.82557,PUGET SOUND ENERGY INC,53061051931
Snohomish,Edmonds,WA,98020,2020,NISSAN,LEAF,1,1,215,0,21,240420365,-122.3757836 47.800042,PUGET SOUND ENERGY INC,53061050300
Snohomish,Everett,WA,98201,2020,TESLA,MODEL Y,1,1,291,0,38,110764804,-122.2032447 47.9845088,PUGET SOUND ENERGY INC,53061040900
King,Seattle,WA,98104,2018,TESLA,MODEL 3,1,1,215,0,43,119807173,-122.3276518 47.6018349,CITY OF SEATTLEWACITY OF TACOMAWA,53033008500
Skagit,Burlington,WA,98233,2018,TESLA,MODEL 3,1,1,215,0,40,348832998,-122.3346525 48.4770496,PUGET SOUND ENERGY INC,53057951600
Thurston,Olympia,WA,98512,2017,CHEVROLET,BOLT EV,1,1,238,0,35,275554667,-122.957046 46.991391,PUGET SOUND ENERGY INC,53067011810
Snohomish,Everett,WA,98208,2024,KIA,NIRO,1,3,0,0,21,267422095,-122.2032349 47.8956271,PUGET SOUND ENERGY INC,53061041701
King,Seattle,WA,98125,2020,NISSAN,LEAF,1,1,149,0,46,138091397,-122.30253 47.72656,CITY OF SEATTLEWACITY OF TACOMAWA,53033001201
Chelan,Wenatchee,WA,98801,2015,NISSAN,LEAF,1,1,84,0,12,204820668,-120.3283376 47.4280056,PUD NO 1 OF CHELAN COUNTY,53007960801
Snohomish,Everett,WA,98208,2018,TESLA,MODEL 3,1,1,215,0,44,298475320,-122.2032349 47.8956271,PUGET SOUND ENERGY INC,53061041606
Thurston,Lacey,WA,98503,2011,NISSAN,LEAF,1,1,73,0,22,123927114,-122.80665 47.019564,PUGET SOUND ENERGY INC,53067011421
Kitsap,Poulsbo,WA,98370,2015,TESLA,MODEL S,1,1,208,0,23,158171296,-122.6368884 47.7469547,PUGET SOUND ENERGY INC,53035090501
Thurston,Olympia,WA,98502,2018,TESLA,MODEL 3,1,1,215,0,22,322752307,-122.92333 47.03779,PUGET SOUND ENERGY INC,53067012002
King,Redmond,WA,98053,2015,TESLA,MODEL S,1,1,208,0,45,169480132,-122.030684 47.669552,PUGET SOUND ENERGY INCCITY OF TACOMAWA,53033032327
Snohomish,Everett,WA,98208,2018,HONDA,CLARITY,0,1,47,0,44,156723976,-122.2032349 47.8956271,PUGET SOUND ENERGY INC,53061041610
Yakima,Yakima,WA,98902,2012,NISSAN,LEAF,1,1,73,0,14,239505276,-120.530331 46.59534,PACIFICORP,53077000800
Yakima,Yakima,WA,98901,2019,TESLA,MODEL 3,1,1,220,0,14,221375612,-120.50723 46.60452,PACIFICORP,53077000100
Yakima,Yakima,WA,98908,2019,TESLA,MODEL S,1,1,270,0,14,258995908,-120.611068 46.596645,PACIFICORP,53077002900
Stevens,Colville,WA,99114,2012,NISSAN,LEAF,1,1,73,0,7,153331706,-117.885418 48.541035,AVISTA CORP,53065950200
King,Seattle,WA,98105,2019,TESLA,MODEL 3,1,1,220,0,46,244060932,-122.304212 47.664294,CITY OF SEATTLEWACITY OF TACOMAWA,53033004301
Kitsap,Bainbridge Island,WA,98110,2019,VOLKSWAGEN,E-GOLF,1,1,125,0,23,477699645,-122.5305071 47.6400595,PUGET SOUND ENERGY INC,53035091002
Kittitas,Cle Elum,WA,98922,2018,TESLA,MODEL 3,1,1,215,0,13,321527790,-120.9347811 47.1944758,PUGET SOUND ENERGY INC,53037975201
Stevens,Valley,WA,99181,2014,CHEVROLET,VOLT,0,1,38,0,7,209336459,-117.7262049 48.1751396,AVISTA CORP,53065951100
Stevens,Colville,WA,99114,2022,KIA,EV6,1,3,0,0,7,200868769,-117.885418 48.541035,AVISTA CORP,53065950600
Walla Walla,Walla Walla,WA,99362,2016,AUDI,A3,0,2,16,0,16,107411678,-118.3377489 46.0625736,PACIFICORP,53071920701
Yakima,Selah,WA,98942,2020,TESLA,MODEL X,1,1,289,0,15,103243017,-120.5517376 46.6678647,PACIFICORP,53077003200
Skagit,Anacortes,WA,98221,2018,AUDI,A3,0,2,16,0,40,202271135,-122.6330168 48.4948674,PUGET SOUND ENERGY INC,53057940403
Snohomish,Everett,WA,98203,2019,MERCEDES-BENZ,GLC-CLASS,0,2,10,0,38,238138085,-122.225874 47.945309,PUGET SOUND ENERGY INC,53061041304
Snohomish,Bothell,WA,98021,2018,TESLA,MODEL 3,1,1,215,0,1,474692662,-122.2107298 47.7977268,PUGET SOUND ENERGY INC,53061051917
Kitsap,Seabeck,WA,98380,2025,BMW,X5,0,1,40,0,35,267258897,-122.8728334 47.5798304,PUGET SOUND ENERGY INC,53035091301
Snohomish,Edmonds,WA,98020,2024,GENESIS,GV60,1,3,0,0,21,267632935,-122.3757836 47.800042,PUGET SOUND ENERGY INC,53061050403
Island,Freeland,WA,98249,2012,NISSAN,LEAF,1,1,73,0,10,5819362,-122.545737 48.018194,PUGET SOUND ENERGY INC,53029971900
Snohomish,Everett,WA,98208,2014,NISSAN,LEAF,1,1,84,0,44,118527454,-122.2032349 47.8956271,PUGET SOUND ENERGY INC,53061041610
Snohomish,Bothell,WA,98012,2016,SMART,FORTWO,1,1,68,0,44,143784105,-122.206146 47.839957,PUGET SOUND ENERGY INC,53061052010
Yakima,Yakima,WA,98901,2024,AUDI,Q5 E,0,2,23,0,15,271614129,-120.50723 46.60452,PACIFICORP,53077001602
Snohomish,Everett,WA,98208,2018,TESLA,MODEL X,1,1,238,0,38,239758025,-122.2032349 47.8956271,PUGET SOUND ENERGY INC,53061041805
Thurston,Lacey,WA,98503,2017,CHEVROLET,VOLT,0,1,53,0,22,247322806,-122.80665 47.019564,PUGET SOUND ENERGY INC,53067011300
Island,Clinton,WA,98236,2013,NISSAN,LEAF,1,1,75,0,10,189086859,-122.4159028 47.9560682,PUGET SOUND ENERGY INC,53029972100
Whitman,Pullman,WA,99163,2023,FORD,MUSTANG MACH-E,1,3,0,0,9,233728288,-117.1770648 46.7329687,AVISTA CORP,53075000500
Spokane,Spokane,WA,99223,2017,NISSAN,LEAF,1,1,107,0,6,313303112,-117.3600492 47.6077423,MODERN ELECTRIC WATER COMPANY,53063004702
Skagit,Bow,WA,98232,2017,CHEVROLET,BOLT EV,1,1,238,0,40,265129917,-122.4202542 48.5607175,PUGET SOUND ENERGY INC,53057950802
Yakima,Yakima,WA,98908,2012,CHEVROLET,VOLT,0,1,35,0,14,245530253,-120.611068 46.596645,PACIFICORP,53077000903
Grant,Quincy,WA,98848,2023,JEEP,WRANGLER,0,2,21,0,13,249731674,-119.8619179 47.2248994,PUD NO 2 OF GRANT COUNTY,53025010600
King,Redmond,WA,98053,2020,TESLA,MODEL 3,1,1,308,0,45,122944412,-122.030684 47.669552,PUGET SOUND ENERGY INCCITY OF TACOMAWA,53033032315
Spokane,Spokane,WA,99207,2018,TESLA,MODEL 3,1,1,215,0,3,286454864,-117.387659 47.686036,MODERN ELECTRIC WATER COMPANY,53063001500
Island,Langley,WA,98260,2020,TESLA,MODEL 3,1,1,322,0,10,4664530,-122.4401957 48.0192938,PUGET SOUND ENERGY INC,53029972000
Snohomish,Snohomish,WA,98296,2019,TESLA,MODEL 3,1,1,220,0,1,476894120,-122.121841 47.841036,PUGET SOUND ENERGY INC,53061052112
Spokane,Spokane,WA,99205,2016,VOLVO,XC90,0,2,13,0,3,164236845,-117.4404568 47.6966013,MODERN ELECTRIC WATER COMPANY,53063001300
Skagit,Burlington,WA,98233,2018,TESLA,MODEL 3,1,1,215,0,40,229811340,-122.3346525 48.4770496,PUGET SOUND ENERGY INC,53057951700
Stevens,Colville,WA,99114,2024,TOYOTA,RAV4 PRIME,0,1,42,0,7,260771871,-117.885418 48.541035,AVISTA CORP,53065950600
Yakima,Naches,WA,98937,2016,FIAT,500,1,1,84,0,14,202801616,-120.7451856 46.7416386,PACIFICORP,53077003002
Snohomish,Bothell,WA,98021,2016,NISSAN,LEAF,1,1,84,0,1,246262054,-122.2107298 47.7977268,PUGET SOUND ENERGY INC,53061051917
Chelan,Leavenworth,WA,98826,2020,CHEVROLET,BOLT EV,1,1,259,0,12,151061494,-120.6860209 47.7095564,PUD NO 1 OF CHELAN COUNTY,53007960201
Yakima,Yakima,WA,98901,2014,BMW,I3,1,1,81,0,15,101485023,-120.50723 46.60452,PACIFICORP,53077001602
King,Redmond,WA,98053,2016,NISSAN,LEAF,1,1,84,0,45,105676469,-122.030684 47.669552,PUGET SOUND ENERGY INCCITY OF TACOMAWA,53033032332
Snohomish,Everett,WA,98208,2022,BMW,IX,1,3,0,0,38,224651087,-122.2032349 47.8956271,PUGET SOUND ENERGY INC,53061041805
Snohomish,Edmonds,WA,98020,2020,TESLA,MODEL 3,1,1,266,0,21,3289394,-122.3757836 47.800042,PUGET SOUND ENERGY INC,53061050300
Snohomish,Snohomish,WA,98296,2022,JEEP,WRANGLER,0,2,21,0,1,218500740,-122.121841 47.841036,PUGET SOUND ENERGY INC,53061052108
Snohomish,Bothell,WA,98012,2024,MAZDA,CX-90,0,2,26,0,1,261698643,-122.206146 47.839957,PUGET SOUND ENERGY INC,53061051921
Thurston,Olympia,WA,98513,2016,FORD,C-MAX,0,2,19,0,2,320795996,-122.7654699 46.9970624,PUGET SOUND ENERGY INC,53067012331
Skagit,Anacortes,WA,98221,2024,AUDI,Q5 E,0,2,23,0,10,264241638,-122.6330168 48.4948674,PUGET SOUND ENERGY INC,53057940302
Snohomish,Bothell,WA,98012,2022,BMW,X5,0,1,30,0,1,202204747,-122.206146 47.839957,PUGET SOUND ENERGY INC,53061051921
Snohomish,Bothell,WA,98021,2023,BMW,X5,0,1,30,0,1,224569271,-122.2107298 47.7977268,PUGET SOUND ENERGY INC,53061051916
Island,Langley,WA,98260,2019,BMW,I3,0,1,126,0,10,476193616,-122.4401957 48.0192938,PUGET SOUND ENERGY INC,53029972000
Skagit,Anacortes,WA,98221,2016,FORD,C-MAX,0,2,19,0,40,158073618,-122.6330168 48.4948674,PUGET SOUND ENERGY INC,53057940700
Thurston,Centralia,WA,98531,2020,TESLA,MODEL 3,1,1,322,0,20,103440123,-122.9735677 46.7269138,PUGET SOUND ENERGY INC,53067012720
Snohomish,Granite Falls,WA,98252,2022,FORD,F-150,1,3,0,0,39,223628989,-121.9450548 48.0763266,PUGET SOUND ENERGY INC,53061053604
Thurston,Lacey,WA,98516,2019,TESLA,MODEL 3,1,1,220,0,22,476672717,-122.75103 47.08149,PUGET SOUND ENERGY INC,53067012226
Snohomish,Bothell,WA,98012,2025,KIA,SPORTAGE,0,1,34,0,1,272544520,-122.206146 47.839957,PUGET SOUND ENERGY INC,53061051921
Kittitas,Thorp,WA,98946,2018,TESLA,MODEL 3,1,1,215,0,13,170596807,-120.6969809 47.0799262,PUGET SOUND ENERGY INC,53037975203
Snohomish,Snohomish,WA,98290,2015,NISSAN,LEAF,1,1,84,0,44,204754364,-122.0483457 47.9435765,PUGET SOUND ENERGY INC,53061052401
Island,Coupeville,WA,98239,2020,TESLA,MODEL Y,1,1,291,0,10,112647286,-122.6591616 48.1982108,PUGET SOUND ENERGY INC,53029971302
King,Issaquah,WA,98029,2019,TESLA,MODEL S,1,1,270,0,5,203656715,-122.0209893 47.5632565,PUGET SOUND ENERGY INCCITY OF TACOMAWA,53033032220
Yakima,Yakima,WA,98908,2014,BMW,I3,0,1,72,0,14,8045817,-120.611068 46.596645,PACIFICORP,53077000401
Kitsap,Kingston,WA,98346,2019,KIA,NIRO,1,1,239,0,23,118344747,-122.4977 47.79802,PUGET SOUND ENERGY INC,53035090102
Thurston,Lacey,WA,98503,2020,KIA,NIRO,1,1,239,0,22,152718450,-122.80665 47.019564,PUGET SOUND ENERGY INC,53067011626
Yakima,Yakima,WA,98908,2024,JEEP,WRANGLER,0,2,21,0,14,264931726,-120.611068 46.596645,PACIFICORP,53077000904
